STATE,District,Dist_Code,TEHSIL,lat,lon,date,Tmax_mean,Tmax_Std,Tmin_Mean,Tmin_Std,IMD_pr_Mean,IMD_pr_std
UTTAR PRADESH,AURAIYA,D682,AURAIYA,26.5,79.5,06-26,37.4,2.6,27.4,1.45,3.86,8.155
UTTAR PRADESH,AURAIYA,D682,AURAIYA,26.5,79.5,06-27,36.6,3.05,26.99,1.5,3.82,9.2
UTTAR PRADESH,AURAIYA,D682,AURAIYA,26.5,79.5,06-28,36.29,3.06,26.56,1.5,4.88,7.76
UTTAR PRADESH,AURAIYA,D682,AURAIYA,26.5,79.5,06-29,36.02,3.11,26.83,1.43,6.565,11.405
UTTAR PRADESH,AURAIYA,D682,AURAIYA,26.5,79.5,06-30,35.26,3.35,26.53,1.59,4.49,8.55
UTTAR PRADESH,AURAIYA,D682,AURAIYA,26.5,79.5,07-01,36.1,2.77,26.88,1.51,2.315,5.33
UTTAR PRADESH,AURAIYA,D682,AURAIYA,26.5,79.5,07-02,36.37,2.66,26.97,1.36,3.455,6.185
UTTAR PRADESH,AURAIYA,D682,AURAIYA,26.5,79.5,07-03,36.02,2.09,26.91,1.11,1.34,4.25
UTTAR PRADESH,AURAIYA,D682,AURAIYA,26.5,79.5,07-04,36.33,2.3,27.22,1.08,3.03,5.12
UTTAR PRADESH,AURAIYA,D682,AURAIYA,26.5,79.5,07-05,35.48,2.68,26.68,1.18,3.595,5.185
UTTAR PRADESH,AURAIYA,D682,AURAIYA,26.5,79.5,07-06,35.2,2.98,26.36,1.21,8.175,18.455
UTTAR PRADESH,AURAIYA,D682,AURAIYA,26.5,79.5,07-07,35.35,2.63,26.36,1.29,3.765,6.145
UTTAR PRADESH,AURAIYA,D682,AURAIYA,26.5,79.5,07-08,35.22,2.58,26.7,1.35,4.8,8.525
UTTAR PRADESH,AURAIYA,D682,AURAIYA,26.5,79.5,07-09,34.84,2.82,26.32,1.25,5.685,7.3
UTTAR PRADESH,AURAIYA,D682,AURAIYA,26.5,79.5,07-10,34.86,2.52,26.47,1.3,3.015,4.03
UTTAR PRADESH,AURAIYA,D682,AURAIYA,26.5,79.5,07-11,34.55,2.54,26.43,1.35,5.12,8.6
UTTAR PRADESH,AURAIYA,D682,AURAIYA,26.5,79.5,07-12,34.4,2.46,26.24,1.3,5.61,6.965
UTTAR PRADESH,AURAIYA,D682,AURAIYA,26.5,79.5,07-13,34.53,2.54,26.33,1.11,4.295,7.715
UTTAR PRADESH,AURAIYA,D682,AURAIYA,26.5,79.5,07-14,34.59,2.51,26.4,1.09,4.15,7.795
UTTAR PRADESH,AURAIYA,D682,AURAIYA,26.5,79.5,07-15,34.47,2.43,26.2,1.11,7.155,9.525
UTTAR PRADESH,AURAIYA,D682,AURAIYA,26.5,79.5,07-16,34.33,2.39,26.39,1.05,3.535,6.64
UTTAR PRADESH,AURAIYA,D682,AURAIYA,26.5,79.5,07-17,34.34,2.46,26.48,1.1,3.23,4.485
